Quest/Stage Id,Name,LargeImageKey
100000,Prologue: The Forgotten Sky,st08
100001,Chapter 1: The Western Frontier,st00
100002,Prologue: The Forgotten Sky,st08
100003,Chapter 1: The Western Frontier,st00
100005,Prologue: The Forgotten Sky,st08
100006,Prologue: The Forgotten Sky,st08
101000,Chapter 1: The Western Frontier,folca
101001,Chapter 2: Tempest On The Horizon,st01
101002,Chapter 2: Tempest On The Horizon,st01
101003,Chapter 3: Creation Of The Stars,st03
101004,Chapter 3: Creation Of The Stars,st03
101005,Chapter 3: Creation Of The Stars,st03
101F00,Chapter 2: Tempest On The Horizon,st08
102000,Chapter 4: Skies Forever Blue,folca
102002,Chapter 4: Skies Forever Blue,st02
102F00,Chapter 4: Skies Forever Blue,st08
103001,Chapter 5: Shadows In The Snowscape,st03
103F00,Chapter 5: Shadows In The Snowscape,st03
104000,Chapter 6: In Search Of Hope,seedhollow
104001,Chapter 6: In Search Of Hope,st04
104003,Chapter 6: In Search Of Hope,st04
104F00,Chapter 6: In Search Of Hope,st03
104F01,Chapter 6: In Search Of Hope,st08
105001,Chapter 7: Warning Signs,st05
105002,Chapter 7: Warning Signs,st08
105F00,Chapter 7: Warning Signs,st08
105F01,Chapter 7: Warning Signs,st08
106000,Chapter 8: Relink,st06
106001,Chapter 8: Relink,st06
106002,Chapter 8: Relink,st06
106F00,Chapter 8: Relink,st08
107000,Chapter 9: Opposing Wills,st06
107001,Chapter 9: Opposing Wills,st07
107002,Chapter 9: Opposing Wills,st07
107F00,Chapter 9: Opposing Wills,st08
108000,Final Chapter: Id,st08
108001,Final Chapter: Id,st08
108002,Final Chapter: Id,st08
108F00,Final Chapter: Id,st08
200000,"A Lingering Regret"
200001,"Save the Crustaceans"
200002,"Miracle Mushrooms"
200003,"Annoying Neighbors"
200100,"Results Guaranteed"
200101,"Pebbles of Perfection"
200102,"Infested Skyways"
200103,"Soaring Dream"
200104,"Long Time No Fix"
200200,"Memories on Ice"
200201,"Vulnerable Nights"
210220,"The Forbidden Spirit"
210221,"Icey Interior"
210223,"To Whirl Again"
210225,"Trowel and Error"
210227,"Family Reporting"
210228,"Wolves at the Door"
210229,"Aid from Afar"
200400,"The Gourmet Way"
200401,"Fresh Material"
210420,"Bug Hunt"
210421,"A Barrold of My Own"
210423,"Red-Hot Seller"
210425,"Out of Serpentine Spite"
210427,"Violent Requiem"
210428,"Wrath of the Sword Veil"
201002,"A Curious Charm"
201005,"Propeller Problems"
201006,"Support Our Troops"
201007,"On the Tip of My Chip"
211021,"Eye for an Eye, Quake for a Dile"
211023,"Loathsome Wings"
211025,"Smith Smarter"
211027,"Cooling Bones"
211030,"Magimorphosis"
201102,"En-Raptored"
211121,"Sensitive Technology"
211123,"Soul in the Machine"
211125,"Goopy Research"
211130,"Hidden Lesson"
211230,"Into the Unknown"
211330,"Classroom Science"
211430,"Expecting the Expected"
211530,"Windy Memories"
202002,"Hands-On Research"
202005,"Forget Me Not"
202006,"Everything in Moderation"
202007,"Collecting Godstones"
202010,"Cleansing the Dead"
212021,"First Step is the Hardest"
212024,"Wreck, Reduce, Recycle"
212026,"Iced Water Supplies"
212030,"Fiery Commerce"
212031,"Nightmare of a Shadow"
212130,"Light and Shadow"
212230,"Study with Care"
212330,"Mother Water"
212430,"From the Soil"
212530,"As the Wind Blows"
203006,"Securing the Homestead"
